Location,Area,Year,Classification,Count,Proportion
New Mills West Ward,New Mills West Ward,1971,"Higher managerial, administrative & professional occupations",92.0,0.423963133640553
New Mills West Ward,New Mills West Ward,1981,"Higher managerial, administrative & professional occupations",100.0,0.43103448275862066
New Mills West Ward,New Mills West Ward,1991,"Higher managerial, administrative & professional occupations",127.0,0.5799086757990868
New Mills West Ward,New Mills West Ward,2001,"Higher managerial, administrative & professional occupations",992.0,0.3768996960486322
New Mills West Ward,New Mills West Ward,2011,"Higher managerial, administrative & professional occupations",2114.0,0.5091522157996147
New Mills West Ward,New Mills West Ward,2021,"Higher managerial, administrative & professional occupations",1457.0,0.41298185941043086
New Mills East Ward,New Mills East Ward,1971,"Higher managerial, administrative & professional occupations",60.0,0.25316455696202533
New Mills East Ward,New Mills East Ward,1981,"Higher managerial, administrative & professional occupations",53.0,0.27040816326530615
New Mills East Ward,New Mills East Ward,1991,"Higher managerial, administrative & professional occupations",64.0,0.3742690058479532
New Mills East Ward,New Mills East Ward,2001,"Higher managerial, administrative & professional occupations",516.0,0.22821760283060594
New Mills East Ward,New Mills East Ward,2011,"Higher managerial, administrative & professional occupations",1158.0,0.3463954531857613
New Mills East Ward,New Mills East Ward,2021,"Higher managerial, administrative & professional occupations",928.0,0.2799396681749623
Buxton Central Ward,Buxton Central Ward,1971,"Higher managerial, administrative & professional occupations",71.0,0.31981981981981983
Buxton Central Ward,Buxton Central Ward,1981,"Higher managerial, administrative & professional occupations",61.0,0.3961038961038961
Buxton Central Ward,Buxton Central Ward,1991,"Higher managerial, administrative & professional occupations",60.0,0.3973509933774834
Buxton Central Ward,Buxton Central Ward,2001,"Higher managerial, administrative & professional occupations",769.0,0.3323249783923941
Buxton Central Ward,Buxton Central Ward,2011,"Higher managerial, administrative & professional occupations",1478.0,0.3863042341871406
Buxton Central Ward,Buxton Central Ward,2021,"Higher managerial, administrative & professional occupations",967.0,0.30514357841590406
Dinting Ward,Dinting Ward,1971,"Higher managerial, administrative & professional occupations",66.0,0.55
Dinting Ward,Dinting Ward,1981,"Higher managerial, administrative & professional occupations",80.0,0.5063291139240507
Dinting Ward,Dinting Ward,1991,"Higher managerial, administrative & professional occupations",101.0,0.7013888888888888
Dinting Ward,Dinting Ward,2001,"Higher managerial, administrative & professional occupations",610.0,0.4750778816199377
Dinting Ward,Dinting Ward,2011,"Higher managerial, administrative & professional occupations",1091.0,0.5800106326422116
Dinting Ward,Dinting Ward,2021,"Higher managerial, administrative & professional occupations",1012.0,0.5022332506203474
Old Glossop Ward,Old Glossop Ward,1971,"Higher managerial, administrative & professional occupations",23.0,0.2911392405063291
Old Glossop Ward,Old Glossop Ward,1981,"Higher managerial, administrative & professional occupations",39.0,0.31451612903225806
Old Glossop Ward,Old Glossop Ward,1991,"Higher managerial, administrative & professional occupations",122.0,0.6387434554973822
Old Glossop Ward,Old Glossop Ward,2001,"Higher managerial, administrative & professional occupations",1000.0,0.436871996505024
Old Glossop Ward,Old Glossop Ward,2011,"Higher managerial, administrative & professional occupations",2320.0,0.5463966085727744
Old Glossop Ward,Old Glossop Ward,2021,"Higher managerial, administrative & professional occupations",1644.0,0.43769968051118213
Hadfield South Ward,Hadfield South Ward,1971,"Higher managerial, administrative & professional occupations",85.0,0.35864978902953587
Hadfield South Ward,Hadfield South Ward,1981,"Higher managerial, administrative & professional occupations",94.0,0.46078431372549017
